Make Year,Time Counter  (Sec), Trip Duration (min), Latitude (deg), Longitude (deg), Input voltage read by the scan tool (V),Engine Power (HP), Hard Brake Count, Hard Accel Count, Idling Count, Seconds Idling (sec), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Magnetometer X (µT), Magnetometer Y (µT), Magnetometer Z (µT), Calculated load value (%),Engine RPM (RPM), Absolute throttle position (%), O2 voltage (Bank 1  Sensor 1) (V), O2 voltage (Bank 1  Sensor 2) (V), Bearing (deg),Vehicle Speed (KmpH),GPS Speed (kmpH),Instant Fuel Economy (KmpL),Fuel Rate (LpH),Trip Distance (Km),Trip Fuel( L),Acceleration X (m/sec^2),Acceleration Y (m/sec^2),Acceleration Z (m/sec^2),Acceleration G X (m/sec^2),Acceleration G Y (m/sec^2),Acceleration G Z (m/sec^2),Engine Coolant Temp (°C),Intake Manifold Absolute Pressure (mmHg),Intake Air temperature (°C),Distance Travelled MIL Activated (km),Mass Air Flow Rate (g/min),Boost (KPa),Acceleration (m/sec^2),Engine Torque (Kg/m),Altitude (m),Horizontal Accuracy GPS (m)
Chrysler 2021,0,0.227878,41.53187,-93.64718,14.2,7.208357,0,0,0,0,2.121597,4.580688,-0.3698425,-2.391555,-53.69676,38.89452,-12.51857,-34.9025,27.45098,1218,12.94118,0.115,0.8,287.9992,15.99996011026,6.1039328,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.2634634616586,0.603256347981,-0.1618583531096,0.601301659168,-6.42540929667,-7.78219437205,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,288.12052104,48.98248776
Chrysler 2021,0.961,0.227878,41.5319,-93.6474,14.2,7.208357,0,0,0,0,0.1458282,6.082855,8.108688,-3.757125,-52.06239,38.03883,-14.78893,-32.10516,27.45098,1218,12.94118,0.115,0.8,282.6185,15.99996011026,8.5987072,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.0313791410296,-0.0891830657144,-0.02958043717636,0.793652121437,-6.0025375333,-7.62786143371,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,288.88630056,39.43097016
Chrysler 2021,1.957,0.227878,41.53199,-93.64748,14.2,7.208357,0,0,0,0,-2.280685,10.11682,14.75346,-3.704074,-53.68306,37.05401,-18.20915,-30.4407,27.45098,1218,12.94118,0.115,0.8,274.408,15.99996011026,7.3151216,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.337552172251,-0.2376605634837,0.2302523142185,1.418305194817,-5.69926663432,-7.96825709449,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.52229624,36.58401624
Chrysler 2021,2.953,0.227878,41.53206,-93.64774,14.2,7.208357,0,0,0,0,-1.969437,12.91977,15.47397,-3.635527,-53.48551,33.20811,-22.63332,-27.8844,27.45098,1218,12.94118,0.115,0.8,260.0602,15.99996011026,8.5987072,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.632702562989,-0.0966111575247,-0.0692510615209,2.150734682593,-5.69447821061,-7.78443770741,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.65680448,28.451467608
Chrysler 2021,4.003,0.227878,41.53212,-93.6479,14.2,7.208357,0,0,0,0,-0.7058563,16.91635,15.73297,-3.364296,-52.59517,29.38234,-26.20867,-23.39584,27.45098,1218,12.94118,0.115,0.8,206.1837,15.99996011026,8.4300208,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.420856723959,-0.321332491837,-0.240547729996,2.227824646712,-5.40887052958,-7.64627446212,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.86169104,18.200961312
Chrysler 2021,4.956,0.227878,41.5321,-93.64791,14.2,7.208357,0,0,0,0,0.7907867,3.111099,7.439224,-4.397827,-52.06092,24.29176,-28.26124,-22.06924,27.45098,1218,12.94118,0.115,0.8,192.9873,15.99996011026,10.0757248,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.2971005380161,0.564042784928,-0.0490831718335,1.247360297176,-6.39996146118,-7.78772955821,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.81981152,15.051475104
Chrysler 2021,5.953,0.227878,41.53206,-93.64792,14.2,7.208357,0,0,0,0,-1.839233,-1.052887,2.648102,-3.359552,-51.35994,21.11909,-29.02776,-21.88498,27.45098,1218,12.94118,0.115,0.8,190.5988,15.99996011026,12.5861536,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.624666484624,-0.00345354468249,-0.1698269180531,0.2884511390789,-6.03831202667,-7.5675382678,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.9193592,12.779556864
Chrysler 2021,6.907,0.227878,41.53204,-93.64791,14.2,7.208357,0,0,0,0,1.254135,0.4083405,-2.455597,-2.941991,-52.13926,21.8486,-29.44376,-23.30591,27.45098,1218,12.94118,0.115,0.8,181.4277,15.99996011026,12.5861536,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.0474453541401,-0.1273176941876,0.101521897876,0.666865573472,-5.88488129929,-7.84117031754,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.96742616,11.31597432
Chrysler 2021,7.859,0.227878,41.53199,-93.6479,14.2,7.208357,0,0,0,0,0.7466888,1.187195,2.081573,-1.337613,-53.68103,19.94565,-28.31992,-24.84509,27.45098,1218,12.94118,0.115,0.8,182.3596,15.99996011026,15.1159776,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.2793317674798,0.0643558965007,0.0844751399485,0.1435519440894,-5.91077719225,-8.02423989416,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,290.00488608,10.118104224
Chrysler 2021,8.804,0.227878,41.53196,-93.64788,14.2,7.208357,0,0,0,0,29.44208,0.7814178,15.12707,-0.2962959,-47.59244,19.80806,-35.06056,-23.91086,27.45098,1218,12.94118,0.115,0.8,181.7343,15.99996011026,16.340736,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.0948676653246,0.391565043058,-0.536448235995,0.1916022062941,-6.25865571758,-7.65106593384,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,290.04822864,9.28952676
Chrysler 2021,9.76,0.227878,41.53191,-93.64789,14.2,7.208357,0,0,0,0,8.351471,0.7815552,-3.723953,4.237874,-34.21982,12.78836,-47.14504,-16.96841,27.45098,1218,12.94118,0.115,0.8,182.3203,15.99996011026,16.138224,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,0.418834369324,0.804178728773,-1.456116368469,-0.718358654412,-7.58954185199,-5.47278729928,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,290.01463968,8.867009952
Chrysler 2021,10.778,0.227878,41.53186,-93.6479,14.2,7.208357,0,0,0,0,-2.814407,-2.474746,-6.547607,0.8479376,-35.73312,17.63988,-44.23996,-13.0365,27.45098,1218,12.94118,0.115,0.8,185.0576,15.99996011026,16.138224,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.405247559948,0.561415705109,-0.1494383219616,-0.02754281505927,-8.10956283809,-5.98113135907,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.95971472,12.046348272
Chrysler 2021,11.66,0.227878,41.53182,-93.64791,14.2,7.208357,0,0,0,0,-17.93564,0.6581421,-30.63544,-3.282085,-42.12003,23.87037,-37.69839,-16.26309,27.45098,1218,12.94118,0.115,0.8,185.8446,15.99996011026,14.519744,8.03976638936,1.990107763251,0.0581377615548,0.00918731498853,-0.468819904518,-0.835272088385,1.288986055343,0.1245414142791,-6.62883653208,-7.35078818068,66,300.025816,20,0,358.860948989,-58.00002422964,-0.014856009912,46.2564921616,289.84008072,14.37857424
